fecha_actualizacion,precio,titulo,municipio,eur_m2,habitaciones,banios,m2,tipo_vivienda,id_inmueble,estado,fecha_venta,semana_venta
2025-11-25 00:00:00,895000.0,Piso en Escaldes,Escaldes-Engordany,8524.0,3.0,2.0,105,Piso,piso en escaldes_escaldes-engordany_105,Vendido,2026-01-30,9.0
2025-11-17 00:00:00,497880.0,"Piso en calle del Solà, S/N",Encamp,4979.0,3.0,2.0,100,Piso,"piso en calle del solà, s/n_encamp_100",Vendido,2026-01-30,11.0
2025-11-17 00:00:00,450000.0,"Piso en calle del Solà, S/N",Encamp,5696.0,2.0,2.0,79,Piso,"piso en calle del solà, s/n_encamp_79",Vendido,2026-01-30,11.0
2026-01-19 00:00:00,170000.0,Piso en calle de La Solana,Pas de La Casa (Encamp),3617.0,1.0,1.0,47,Piso,piso en calle de la solana_pas de la casa (encamp)_47,Vendido,2026-01-30,2.0
2026-01-25 00:00:00,433000.0,"Piso en calle Carrer Mirador D'encamp, nº 16",Encamp,5851.0,2.0,2.0,74,Piso,"piso en calle carrer mirador d'encamp, nº 16_encamp_74",Vendido,2026-01-30,1.0
2026-01-26 00:00:00,2100000.0,Piso en Andorra la Vella,Andorra la Vella,8824.0,3.0,3.0,238,Piso,piso en andorra la vella_andorra la vella_238,Vendido,2026-01-30,1.0
2026-01-26 00:00:00,1150000.0,Piso en Andorra la Vella,Andorra la Vella,9583.0,3.0,2.0,120,Piso,piso en andorra la vella_andorra la vella_120,Vendido,2026-01-30,1.0
2025-12-11 00:00:00,750000.0,Piso en calle Coll D´Ordino,Ordino,5556.0,3.0,3.0,135,Piso,piso en calle coll d´ordino_ordino_135,Vendido,2026-01-30,7.0
2025-12-29 00:00:00,186000.0,Piso en calle Carrer Major,Pas de La Casa (Encamp),1388.0,,,134,Piso,piso en calle carrer major_pas de la casa (encamp)_134,Vendido,2026-01-30,5.0
2026-01-26 00:00:00,381000.0,Piso en calle Ctra. General 2,Canillo,5080.0,3.0,1.0,75,Piso,piso en calle ctra. general 2_canillo_75,Vendido,2026-01-30,1.0
2026-01-21 00:00:00,1290000.0,Piso en Els Vilars D Engordany,Escaldes-Engordany,12170.0,3.0,2.0,106,Piso,piso en els vilars d engordany_escaldes-engordany_106,Vendido,2026-01-30,1.0
2026-01-26 00:00:00,872000.0,Piso en Aixirivall,Aixirivall (Sant Julià de Lòria),6459.0,3.0,2.0,135,Piso,piso en aixirivall_aixirivall (sant julià de lòria)_135,Vendido,2026-01-30,1.0
2026-01-19 00:00:00,2100000.0,Piso en Escaldes-Engordany,Escaldes-Engordany,7119.0,4.0,4.0,295,Piso,piso en escaldes-engordany_escaldes-engordany_295,Vendido,2026-01-30,2.0
2026-01-26 00:00:00,1100000.0,Chalet en Aixirivall,Aixirivall (Sant Julià de Lòria),3143.0,8.0,3.0,350,Chalet,chalet en aixirivall_aixirivall (sant julià de lòria)_350,Vendido,2026-01-30,1.0
2026-01-09 00:00:00,2100000.0,Ático en Clot D´Emprivat,Escaldes-Engordany,7778.0,4.0,3.0,270,Ático,ático en clot d´emprivat_escaldes-engordany_270,Vendido,2026-01-30,3.0
2026-01-11 00:00:00,895000.0,Apartamento en Clot D´Emprivat,Escaldes-Engordany,6630.0,3.0,2.0,135,Apartamento,apartamento en clot d´emprivat_escaldes-engordany_135,Vendido,2026-01-30,3.0
2026-01-23 00:00:00,375000.0,Piso en Arinsal,Arinsal (La Massana),5597.0,2.0,2.0,67,Piso,piso en arinsal_arinsal (la massana)_67,Vendido,2026-01-30,1.0
2026-01-25 00:00:00,386400.0,Piso en Canillo,Canillo,3680.0,2.0,2.0,105,Piso,piso en canillo_canillo_105,Vendido,2026-01-30,1.0
2026-01-01 00:00:00,340000.0,Apartamento en Encamp,Encamp,5152.0,2.0,1.0,66,Apartamento,apartamento en encamp_encamp_66,Vendido,2026-01-30,4.0
2025-10-22 00:00:00,381000.0,Piso en L'Aldosa de Canillo,L'Aldosa de Canillo (Canillo),5080.0,3.0,1.0,75,Piso,piso en l'aldosa de canillo_l'aldosa de canillo (canillo)_75,Vendido,2026-01-30,14.0
2026-01-20 00:00:00,990000.0,Casa en Engolasters,Escaldes-Engordany,3667.0,4.0,3.0,270,Casa,casa en engolasters_escaldes-engordany_270,Vendido,2026-01-30,1.0
2025-09-22 00:00:00,650000.0,Piso en Centre,Centre (Andorra la Vella),7222.0,3.0,2.0,90,Piso,piso en centre_centre (andorra la vella)_90,Vendido,2026-01-30,19.0
2025-12-29 00:00:00,,Chalet unifamiliar en Escaldes-Engordany,Escaldes-Engordany,,6.0,5.0,722,Chalet unifamiliar,chalet unifamiliar en escaldes-engordany_escaldes-engordany_722,Vendido,2026-01-30,5.0
2026-01-22 00:00:00,225000.0,Casa en Carrer d'Baix,Les Valls de Valira,941.0,4.0,3.0,239,Casa,casa en carrer d'baix_les valls de valira_239,Vendido,2026-01-30,1.0
2026-01-23 00:00:00,225000.0,Casa en Les Valls de Valira,Les Valls de Valira,941.0,4.0,3.0,239,Casa,casa en les valls de valira_les valls de valira_239,Vendido,2026-01-30,1.0
2026-01-30 00:00:00,421000.0,Piso en calle Sant Pere,El Tarter (Canillo),3568.0,2.0,2.0,118,Piso,piso en calle sant pere_el tarter (canillo)_118,Vendido,2026-02-06,1.0
2026-01-30 00:00:00,425000.0,Apartamento en Encamp,Encamp,6159.0,2.0,2.0,69,Apartamento,apartamento en encamp_encamp_69,Vendido,2026-02-06,1.0
2026-01-30 00:00:00,645000.0,Piso en calle .,Canillo,6862.0,3.0,2.0,94,Piso,piso en calle ._canillo_94,Vendido,2026-02-06,1.0
2026-01-30 00:00:00,750000.0,Piso en Carretera del Coll D'ordino,Ordino,5208.0,3.0,2.0,144,Piso,piso en carretera del coll d'ordino_ordino_144,Vendido,2026-02-06,1.0
2026-01-28 00:00:00,565000.0,Piso en calle Na Maria Pla,Centre (Andorra la Vella),5381.0,3.0,2.0,105,Piso,piso en calle na maria pla_centre (andorra la vella)_105,Vendido,2026-02-06,1.0
2025-12-19 00:00:00,821000.0,"Piso en calle Prat del Rull, S/N",Centre (Andorra la Vella),11403.0,2.0,2.0,72,Piso,"piso en calle prat del rull, s/n_centre (andorra la vella)_72",Vendido,2026-02-06,7.0
2025-04-11 00:00:00,360000.0,Ático en calle Pere D´Urg,Centre (Andorra la Vella),4932.0,2.0,2.0,73,Ático,ático en calle pere d´urg_centre (andorra la vella)_73,Vendido,2026-02-06,43.0
2025-12-30 00:00:00,310000.0,Piso en calle Mestre Xavier Plana,Centre (Andorra la Vella),7949.0,1.0,1.0,39,Piso,piso en calle mestre xavier plana_centre (andorra la vella)_39,Vendido,2026-02-06,5.0
2026-01-29 00:00:00,560000.0,Piso en calle Callaueta,Centre (Andorra la Vella),5657.0,2.0,2.0,99,Piso,piso en calle callaueta_centre (andorra la vella)_99,Vendido,2026-02-06,1.0
2026-01-18 00:00:00,450000.0,Piso en calle Sispony,Sispony (La Massana),5000.0,2.0,2.0,90,Piso,piso en calle sispony_sispony (la massana)_90,Vendido,2026-02-06,3.0
2026-03-01 00:00:00,1139000.0,Ático en calle Esteve Albert - Edifici Illa,Escaldes-Engordany,6026.0,4.0,2.0,189,Ático,ático en calle esteve albert - edifici illa_escaldes-engordany_189,Vendido,2026-02-06,0.0
2025-12-19 00:00:00,677811.0,Dúplex en calle Roureda de Sansa,Centre (Andorra la Vella),5466.0,3.0,3.0,124,Dúplex,dúplex en calle roureda de sansa_centre (andorra la vella)_124,Vendido,2026-02-06,7.0
2026-01-24 00:00:00,390000.0,Piso en calle Arinsal,La Massana,5200.0,1.0,1.0,75,Piso,piso en calle arinsal_la massana_75,Vendido,2026-02-06,2.0
